Category,Subcategory,Note,Amount,Hour,DayOfWeek,Payment Mode
Food,Grocery,Amul cheese,72.0,20,Tuesday,Other
Food,Milk,1 lit ,72.0,6,Tuesday,Other
Food,Eggs,6 eggs,36.0,0,Sunday,Other
Food,curd,3 packets,30.0,0,Sunday,Other
Food,flour mill,M D sure 3kg atta,162.0,0,Sunday,Cash
Transportation,auto,2 Place 0 to Current Residence,30.0,0,Friday,Cash
Food,Dinner,pav Bhaji,235.0,0,Friday,Cash
Food,snacks,Vadapav,15.0,0,Friday,Cash
Transportation,Train,Place 0 to Place 3 returns,40.0,0,Friday,Cash
Transportation,auto,Current Residence to Place 0,15.0,0,Friday,Cash
Food,Milk,1 lit ,69.0,0,Tuesday,Other
Apparel,Laundry,clothes ironing,98.0,0,Sunday,Other
Food,snacks,Shev Puri,35.0,0,Thursday,Other
Food,Onions,onion 1 kg,25.0,0,Thursday,Other
Food,Milk,1 lit ,69.0,0,Thursday,Other
Culture,Movie,2 PVR Place 6,312.0,0,Saturday,Card
Family,Pocket money,,500.0,0,Wednesday,Cash
Food,Grocery,Raw chicken half kg,220.0,0,Wednesday,Other
Food,Biscuits,Khari packet,45.0,0,Wednesday,Other
Food,Milk,1 packet,69.0,0,Wednesday,Other
Food,Dinner,Domino's Pizza,452.0,0,Monday,Card
Food,Lunch,Catering Service,50.0,0,Monday,Other
Food,Milk,Half lit  milk,35.0,0,Monday,Other
Food,Ice cream,chocobar,10.0,0,Friday,Other
Transportation,Travels,Place 2 to Place 1 - Shree Sharma Travels,945.0,0,Friday,Card
Food,Lunch,Catering Service,82.0,0,Friday,Other
Family,Pocket money,,170.0,0,Friday,Cash
Food,fruits,8 bananas,30.0,0,Tuesday,Other
Food,vegetables,Half kg tomato,15.0,0,Tuesday,Other
maid,Other,,2000.0,0,Tuesday,Cash
Money transfer,Home,,10000.0,0,Tuesday,Other
Food,Dinner,At restaurant,320.0,22,Wednesday,Cash
Transportation,Bike,Parking sticker,50.0,20,Wednesday,Other
Food,Milk,1 lit ,69.0,7,Wednesday,Other
Household,Kitchen,Matchbox packet 10pcs,10.0,21,Tuesday,Other
Food,Grocery,Dahi 2 packets,20.0,21,Tuesday,Other
Family,Pocket money,,100.0,8,Tuesday,Cash
Food,Biscuits,Khari packet,45.0,7,Monday,Other
Food,Eggs,6 eggs,42.0,7,Monday,Other
Food,Milk,1 lit ,69.0,7,Monday,Other
Food,snacks,2 kachori,24.0,19,Sunday,Other
Household,Kirana,Smart point,976.9,19,Sunday,Card
Household,Kirana,Supermart,764.0,19,Sunday,Card
Transportation,Bike,Two Wheeler Bikedelux third installment,43000.0,18,Saturday,Other
Transportation,auto,Place 0 to Current Residence,15.0,14,Friday,Cash
Transportation,Train,Place 0 to Place 4 return,20.0,12,Friday,Cash
Apparel,Clothing,Pyjama (999)+ carry bag (10),1009.0,12,Friday,Card
Food,Rajgira ladu,1 packet,20.0,10,Friday,Other
Food,Milk,1 lit ,69.0,10,Friday,Other
Food,Potato,potato 1kg,25.0,10,Friday,Cash
Household,Kirana,Idli pith 1kg,38.0,10,Friday,Cash
Food,Lunch,Catering Service,70.0,13,Thursday,Cash
Food,Milk,Half lit  milk,35.0,9,Wednesday,Cash
Household,Kirana,Smart point,273.0,21,Tuesday,Card
Food,flour mill,2 kg Bajari,14.0,19,Monday,Other
Food,flour mill,M D sure 3kg atta,162.0,12,Monday,Cash
Health,Medicine,Cough-sills 4 pcs + sinarest 3 pcs,30.0,10,Monday,Other
Food,Milk,1 lit ,69.0,10,Monday,Other
Food,Dinner,Home Food Delivery,384.0,19,Sunday,Card
Food,Biscuits,crack-jack 1 packi,10.0,20,Saturday,Other
Food,Bread,,45.0,20,Saturday,Other
subscription,Tata Sky,Permanent Residence - Tata Play recharge,179.0,10,Saturday,Card
Food,Bread,Flatbread 6 pcs,17.0,22,Friday,Other
Household,Kirana,Amul butter,53.0,22,Friday,Other
Food,Bread,Flatbread 6 pcs,20.0,22,Friday,Cash
Household,Kirana,Cakes,46.0,22,Friday,Cash
Transportation,Bike,Two Wheeler Bikedelux second installment,50000.0,21,Thursday,Other
Food,Lunch,Fresh veggie pizza,219.0,15,Thursday,Card
Food,Eggs,6 eggs,42.0,7,Thursday,Other
Food,Milk,1 lit ,69.0,7,Thursday,Other
Household,Kirana,Bhagar 1kg 130 + idli pith 1kg 35,165.0,9,Tuesday,Cash
Food,Milk,1 lit ,69.0,8,Tuesday,Other
Social Life,Leisure,Marathon,298.0,7,Tuesday,Card
Food,Sweets,Chitale Srikhand,284.0,16,Monday,Card
Food,Grocery,onion 1 kg + half kg potato,38.0,16,Monday,Cash
Transportation,Train,Place 0 to Place 3 returns,40.0,13,Monday,Cash
Transportation,auto,Uber auto: Place 4 Station to Current Residence society,266.0,13,Monday,Other
Transportation,Train,Place 0 to Santacruz return,40.0,15,Sunday,Cash
Household,Hardware,Vibrating electronic message tool,798.0,15,Sunday,Card
Transportation,auto,station to Decathlon,20.0,15,Sunday,Cash
Transportation,auto,Decathlon to station,25.0,15,Sunday,Cash
Apparel,Clothing,Head band,199.0,15,Sunday,Card
Transportation,auto,Pali hill to Bandra station,23.0,12,Sunday,Cash
Transportation,auto,mumbai University Kalina to Santacruz station,40.0,10,Sunday,Cash
Transportation,auto,Current Residence to Place 0,15.0,7,Sunday,Cash
Health,Medicine,Thyroid Tablets,740.0,20,Saturday,Cash
Apparel,Laundry,clothes ironing,80.0,20,Saturday,Other
Household,Kirana,Smart point,226.0,0,Saturday,Card
Health,Lab Tests,Family Thyroid Test,500.0,0,Saturday,Cash
Food,Eggs,6 eggs,42.0,0,Thursday,Other
Food,Milk,1 lit ,69.0,0,Thursday,Other
Food,Rajgira ladu,2 packets,40.0,0,Monday,Other
Food,Bread,Flatbread 12 pcs,34.0,0,Saturday,Cash
Food,Milk,1 lit ,69.0,0,Saturday,Other
Food,snacks,Vadapav,20.0,0,Wednesday,Cash
Household,Hardware,Sony WI-C100 earphones wireless,1399.0,0,Wednesday,Card
Food,flour mill,M D sure 2kg atta,104.0,0,Wednesday,Other
Household,Kirana,Harpik 1L,165.0,0,Wednesday,Cash
Food,Tea,2 cutting chai,20.0,0,Sunday,Cash
Transportation,Train,Place 0 to Place 4 return,20.0,0,Sunday,Cash
subscription,Mahanagar Gas,,810.0,0,Friday,Other
Household,Kirana,Idli pith 1kg,38.0,0,Friday,Cash
Household,Appliances,5 litres can Distilled water,100.0,0,Friday,Other
Food,curd,2 cups,20.0,0,Friday,Cash
Food,Milk,1 lit ,69.0,0,Friday,Cash
Household,Kirana,Cockroach injection,270.0,0,Sunday,Cash
Household,Kirana,Nandadip oil bottle,130.0,0,Sunday,Cash
Food,Lunch,Catering Service,70.0,0,Sunday,Cash
Documents,Updation,Aadhar Address Change,50.0,0,Sunday,Other
Food,Dinner,Wok express + Domino's,681.0,0,Thursday,Card
Transportation,Bike,Two Wheeler Bikedelux booking amount,1000.0,0,Thursday,Other
Food,Eggs,6 eggs,40.0,0,Thursday,Other
Food,Milk,1 lit ,69.0,0,Thursday,Other
Household,Kirana,Supermart,1140.0,0,Thursday,Card
Health,Medicine,Refresh Tears Drop,158.0,0,Thursday,Cash
subscription,Amazon Prime,Amazon pay cashback 1017 + Rs.482,482.0,0,Monday,Card
Food,Ice cream,Raspberry dolly,15.0,0,Monday,Cash
Household,gadgets,Logitech mouse,599.0,0,Monday,Card
Food,Milk,1 lit ,69.0,0,Monday,Cash
Money transfer,Home,,30000.0,0,Monday,Other
maid,Other,,2000.0,0,Monday,Cash
Food,Bread,Flatbread 24 pcs,30.0,13,Sunday,Cash
Food,vegetables,Dudhi 20 + mirchi 5,25.0,10,Saturday,Cash
Family,misc,For utensils,450.0,21,Friday,Other
Food,snacks,3 pavwada,30.0,18,Friday,Cash
Household,Kirana,,182.0,18,Friday,Cash
Food,flour mill,,5.0,18,Friday,Cash
subscription,Mobile Service Provider,Data booster pack,181.0,13,Friday,Other
Food,vegetables,Ginger,10.0,18,Thursday,Cash
Food,Grocery,Tata salt 28+ 6 eggs 42,70.0,18,Wednesday,Cash
subscription,Newspaper,"ET Prime (1+1) till 24 Dec,2024",1749.0,19,Tuesday,Card
subscription,Tata Sky,Permanent Residence - Tata Play recharge,156.0,17,Monday,Card
subscription,Mobile Service Provider,Data booster pack,181.0,11,Monday,Other
Transportation,auto,Place 2 station to Permanent Residence,80.0,5,Monday,Cash
Transportation,auto,2 Current Residence to Place 0,30.0,21,Sunday,Other
Gift,Other,Birthday gift,1364.0,19,Sunday,Card
Food,snacks,Gupta bhel,25.0,19,Sunday,Cash
Household,Toiletries,Toothbrush (buy 2 get 1),100.0,19,Sunday,Cash
Food,Milk,Half lit  milk,35.0,8,Sunday,Other
Gift,Other,Birthday gift,798.0,11,Saturday,Card
Food,Lunch,Home Food Delivery,380.0,14,Friday,Other
Food,snacks,Vadapav,15.0,20,Thursday,Other
Household,Kirana,Surti kolam 2kg (54rsx2)+Monaco biscuits,118.0,20,Thursday,Cash
Food,Lunch,Catering Service,65.0,14,Thursday,Cash
Food,Milk,milk 1lit ,70.0,14,Thursday,Cash
Food,Lunch,Catering Service,95.0,10,Wednesday,Cash
subscription,Edtech Course,Renewal,28400.0,10,Wednesday,Card
Family,Pocket money,,500.0,20,Tuesday,Cash
Food,snacks,Chicken Frankie,45.0,18,Tuesday,Cash
Transportation,Train,Place 0 to WS return,10.0,17,Tuesday,Cash
Food,Milk,milk 1lit ,69.0,6,Tuesday,Other
Apparel,Clothing,undergarment single,312.0,6,Monday,Card
Food,Dinner,At restaurant,505.0,22,Sunday,Card
Transportation,auto,within city,30.0,22,Sunday,Cash
Household,Kirana,Dmart,878.0,22,Sunday,Card
Food,Tea,2 cutting chai,20.0,17,Sunday,Cash
Transportation,auto,college to inorbit,25.0,17,Sunday,Cash
Transportation,Train,Place 0 to Place 4 return,20.0,16,Sunday,Cash
Transportation,auto,Current Residence to Place 0,15.0,16,Sunday,Cash
Food,Milk,milk 1lit ,69.0,7,Saturday,Other
Other,Other,Nosebud,10.0,7,Friday,Cash
Food,Ice cream,chocobar,15.0,7,Friday,Cash
Food,Grocery,Paneer + 1 kg onion,145.0,20,Thursday,Cash
Apparel,Laundry,clothes ironing,98.0,22,Wednesday,Cash
Family,Pocket money,,20.0,17,Wednesday,Cash
Food,Milk,milk 1lit ,69.0,7,Wednesday,Other
Food,Eggs,6 eggs,40.0,0,Tuesday,Cash
Food,snacks,Double chicken shwarma,100.0,0,Tuesday,Card
Food,Lunch,Catering Service,80.0,0,Tuesday,Cash
Food,vegetables,,90.0,0,Thursday,Cash
Food,fruits,,310.0,0,Thursday,Cash
Food,snacks,Gupta bhel,25.0,0,Thursday,Cash
Food,Lunch,Catering Service,65.0,0,Thursday,Other
Food,Lunch,Catering Service,85.0,0,Tuesday,Cash
Food,Dinner,Home Food Delivery - roti 17*4+ paneer chatpata 190+ veg crispy 150,408.0,0,Saturday,Other
Food,Milk,milk 1lit ,69.0,0,Wednesday,Other
Food,Lunch,Catering Service,125.0,0,Monday,Other
subscription,Tata Sky,Current Residence - Tata Play recharge,100.0,0,Friday,Other
subscription,Edtech Course,,2700.0,0,Friday,Other
Household,Kirana,Smart point,937.0,0,Wednesday,Card
Household,Kirana,Supermart,990.0,0,Wednesday,Card
Food,fruits,,120.0,0,Wednesday,Other
Food,Bread,,35.0,0,Wednesday,Other
Food,snacks,Amul butter,50.0,0,Wednesday,Cash
Food,Milk,milk 1lit ,69.0,0,Wednesday,Other
subscription,Newspaper,,110.0,0,Wednesday,Other
Food,snacks,Shev Puri,30.0,0,Sunday,Cash
Food,Lunch,Home Food Delivery - Chicken lollypop 8 pcs 190 + chicken manchow soup 100,290.0,0,Sunday,Other
Other,Other,2 kg soil,20.0,0,Sunday,Cash
Beauty,grooming,hair cut+shaving,160.0,0,Sunday,Cash
Food,Ice cream,chocobar,35.0,0,Sunday,Other
Food,Milk,milk 1lit ,69.0,0,Sunday,Other
Food,Lunch,Catering Service ( 5 methi paranthe),125.0,0,Thursday,Other
Food,Milk,1 lit ,69.0,0,Thursday,Other
maid,Other,,2000.0,0,Thursday,Cash
Health,Medicine,5 Meftal spas,22.0,20,Thursday,Other
Health,Health,Glasses remaining,800.0,20,Thursday,Other
Health,Health,Family's Glasses,22700.0,20,Thursday,Card
Money transfer,Home,,10000.0,16,Thursday,Other
Family,Pocket money,Change,50.0,8,Thursday,Cash
Food,Bread,Sweet bread cake pav kg,90.0,17,Tuesday,Other
Food,Eggs,6 eggs,42.0,17,Tuesday,Other
Food,Bread,,18.0,17,Tuesday,Other
Household,Kirana,Toast+ biscuits,115.0,17,Tuesday,Card
Food,vegetables,,140.0,17,Tuesday,Other
Food,Milk,1 lit ,69.0,8,Tuesday,Other
Health,Health,Glasses advance,1000.0,21,Monday,Other
Transportation,auto,2 Place 0 to Current Residence,30.0,16,Monday,Cash
Transportation,auto,Place 6 station to  mall,30.0,13,Monday,Cash
Transportation,Train,1 Place 0 to Place 6,5.0,13,Monday,Cash
Apparel,Footwear,Sandals Hush puppies,2699.0,13,Monday,Card
Transportation,auto,eye institute to Place 6 station,40.0,20,Sunday,Cash
Health,Medicine,eye drop,159.0,20,Sunday,Card
Transportation,auto,Place 6 station to eye institute,40.0,17,Sunday,Cash
Health,Hospital,"Routine checkup - eye institute, Place 6",400.0,17,Sunday,Other
Transportation,Train,1 Place 0 to Place 6 return,10.0,16,Sunday,Cash
subscription,Tata Sky,Permanent Residence - Tata Play recharge,156.0,10,Saturday,Card
Food,Milk,1 lit ,69.0,9,Saturday,Other
Apparel,Laundry,clothes ironing : Rs 6 per item,90.0,9,Saturday,Cash
Food,vegetables,Half kg tomato,10.0,8,Saturday,Cash
Culture,Movie,2 PVR Place 6,314.0,12,Friday,Card
Food,Bread,Flatbread 8 pcs,23.0,12,Thursday,Cash
Food,Grocery,Dahi + remaining balance,17.0,12,Thursday,Cash
Food,flour mill,3 kg Bajari,21.0,12,Thursday,Cash
Food,Milk,1 lit ,69.0,6,Thursday,Other
Food,Milk,milk 1lit ,70.0,18,Monday,Other
Food,snacks,1 Panipuri,20.0,20,Sunday,Other
Transportation,auto,2 Place 0 to Current Residence,30.0,20,Sunday,Cash
Transportation,Train,2 Place 0 to Place 6 return,20.0,20,Sunday,Cash
Transportation,auto,2 Current Residence to Place 0,30.0,20,Sunday,Cash
Culture,Movie,2 PVR Place 6,436.0,13,Sunday,Card
Household,Kirana,Khobra + shengdana+ vim bar,242.0,22,Saturday,Card
Food,Eggs,6 eggs,39.0,20,Saturday,Other
subscription,Mahanagar Gas,,147.0,15,Saturday,Other
Self-development,Other,Marathon,950.0,11,Saturday,Other
Food,Milk,1.5 lit milk ,104.0,8,Saturday,Other
Food,Ice cream,Vanila family pack,105.0,22,Friday,Other
Household,Kirana,Agarbatti 55 + dahi 25,80.0,22,Friday,Other
Food,flour mill,4 kg Gehu,28.0,13,Friday,Other
Food,Milk,1 lit ,70.0,5,Thursday,Other
Food,Dinner,Home Food Delivery,524.0,20,Wednesday,Card
Household,Kirana,Toast 55 + Kisan Jam 85 + all out 75,209.0,20,Wednesday,Other
Education,Stationary,Photo paper print,45.0,20,Wednesday,Other
Food,Bread,brown bread,25.0,20,Wednesday,Other
Household,Kirana,Amul butter 52 + Good Day biscuits 43,95.0,20,Wednesday,Card
Food,fruits,,125.0,22,Tuesday,Cash
Family,Pocket money,,770.0,22,Tuesday,Cash
Food,Grocery,vegetables,160.0,20,Tuesday,Other
Household,Kirana,Pani Puri packet + Bundi + chivda,180.0,20,Monday,Other
Food,Milk,milk 1lit varna,70.0,20,Monday,Other
Food,Grocery,onion 1 kg + half kg potato,50.0,20,Monday,Other
Household,Kirana,Maggie + lizol,268.0,20,Monday,Card
Food,Grocery,Shev bhaji sev pav kg,60.0,20,Monday,Other
Transportation,auto,2 Place 0 to Current Residence,30.0,0,Monday,Cash
Food,Dinner,At restaurant,1525.0,0,Monday,Card
Food,Tea,,12.0,0,Monday,Cash
Household,Appliances,USB cord,130.0,0,Monday,Card
Household,Appliances,Screwdriver 2,120.0,0,Monday,Cash
Other,Other,Shopping at Alfa,3690.0,0,Monday,Card
Transportation,auto,Place P station to Alfa market,34.0,0,Monday,Cash
Transportation,Train,Place 4 station to Place P return,30.0,0,Monday,Cash
Transportation,Train,Place 0 to Place P return,40.0,0,Monday,Cash
Food,Eggs,6 eggs,39.0,0,Saturday,Other
Food,Milk,Half lit  milk,26.0,0,Saturday,Other
Apparel,Laundry,clothes ironing : Rs 6 per item,72.0,0,Monday,Cash
Household,Toiletries,Colgate max fresh small,20.0,0,Monday,Cash
Household,Kirana,,67.0,0,Monday,Card
Health,Medicine,Acne Star cream,100.0,0,Monday,Other
Food,Lunch,Bhendi bhaji,40.0,0,Monday,Other
Food,Milk,1 lit ,70.0,0,Monday,Other
Household,Kirana,,539.0,0,Friday,Card
Food,fruits,1 kg apple,130.0,0,Friday,Other
Food,Milk,1 lit ,70.0,0,Tuesday,Other
Food,Eggs,6 eggs,39.0,0,Sunday,Cash
Transportation,auto,Place 0 to Current Residence,15.0,0,Thursday,Cash
subscription,Tata Sky,Current Residence - Tata Play recharge,200.0,0,Thursday,Other
subscription,Edtech Course,,2700.0,0,Saturday,Other
Food,snacks,2 pavwada,20.0,0,Saturday,Cash
Other,Other,Dambar goli 2 packets ( Naphthalene balls),130.0,0,Saturday,Cash
subscription,Mobile Service Provider,Mobile Service Provider freedom pack,296.0,0,Wednesday,Other
Money transfer,Home,,10000.0,0,Wednesday,Other
subscription,Mobile Service Provider,Mobile Service Provider freedom pack,296.0,22,Sunday,Other
subscription,Mobile Service Provider,Mobile Service Provider freedom pack,296.0,22,Sunday,Card
subscription,Hotstar,subscription 1yr,795.49,21,Sunday,Card
Transportation,auto,Permanent Residence to bus stand,40.0,12,Friday,Cash
Transportation,auto,within city,50.0,19,Thursday,Cash
Festivals,Diwali,Offering,50.0,19,Thursday,Cash
Festivals,Diwali,Offering,10.0,16,Thursday,Cash
Festivals,Diwali,Offering,500.0,13,Thursday,Cash
subscription,Mobile Service Provider,Mobile Service Provider freedom pack,296.0,18,Tuesday,Other
Food,snacks,Dahi,10.0,10,Tuesday,Cash
Household,Toiletries,Shampoo sachets,9.0,21,Monday,Cash
Apparel,Footwear,Slippers,220.0,19,Monday,Cash
Festivals,Diwali,Aakash kandil,200.0,18,Monday,Cash
Household,Toiletries,Dettol liquid handwash refill,99.0,18,Monday,Cash
Household,Kitchen,flour mill,27.0,11,Monday,Cash
Household,Kirana,,50.0,9,Monday,Cash
subscription,Tata Sky,Permanent Residence - Tata Play recharge,191.0,4,Monday,Other
Transportation,auto,Current Residence to Place 1 bus stop highway,50.0,18,Sunday,Cash
Other,Other,ipad cover + case,1888.0,21,Saturday,Card
Food,Grocery,Onion half kg 13 + milkybar 10 + Colgate maxfresh 10,33.0,19,Saturday,Cash
maid,Other,,2000.0,13,Saturday,Cash
Gift,Other,farewell contribution,200.0,23,Friday,Other
Festivals,Diwali,Rangoli + stamp,20.0,19,Friday,Cash
Food,snacks,Gupta bhel,25.0,21,Thursday,Cash
Transportation,train,2 Place 2 to Place 3 : Sevagram express 3AC,1333.0,19,Wednesday,Card
Transportation,train,2 Place 3 to Place 2 : Amritsar express 3AC,1231.0,19,Wednesday,Card
Family,Pocket money,,70.0,12,Friday,Cash
Transportation,train,Place 2 to Place 3 sevagram,658.6,0,Friday,Other
Household,Kitchen,flour mill,14.0,0,Tuesday,Cash
Food,fruits,,230.0,0,Sunday,Cash
Food,Grocery,vegetables,280.0,0,Sunday,Cash
subscription,Wifi Internet Service,1 Year Plan (40mbps + UL+ 3 Months Free),5640.0,0,Sunday,Other
Gift,Other,For Friend,6500.0,0,Thursday,Card
Family,clothes,Fab India,3198.0,0,Thursday,Card
Health,Medicine,,468.0,0,Saturday,Other
Other,Other,account opening fee,200.0,0,Wednesday,Other
subscription,Edtech Course,,2700.0,0,Monday,Other
Health,Medicine,Boroline + band aid,50.0,0,Monday,Other
Family,Pocket money,,400.0,0,Monday,Cash
Household,Kirana,Supermart,3055.0,0,Friday,Card
maid,Other,,2000.0,0,Friday,Cash
subscription,Hotstar,3 months subscription Mobile,149.0,0,Tuesday,Other
Money transfer,Home,,10000.0,0,Tuesday,Other
Health,Medicine,Candid dusting powder,59.0,20,Saturday,Other
Household,Kirana,Supermart,155.0,20,Saturday,Other
Food,Grocery,vegetables,135.0,20,Saturday,Other
Food,Grocery,vegetables,30.0,20,Saturday,Cash
Household,Kitchen,Cooktop installation+ base,600.0,17,Saturday,Cash
Apparel,Laundry,clothes ironing : Rs 6 per item,60.0,21,Friday,Cash
Food,snacks,Gupta bhel,25.0,21,Friday,Cash
Food,Ice cream,Vanila cup,10.0,21,Friday,Cash
Health,Medicine,3 tablet Nor tz,21.0,21,Friday,Other
subscription,Tata Sky,Current Residence - Tata Play recharge,215.0,18,Thursday,Other
Transportation,Travels,2 Place 1 to Place 2 - Novelty tour and travels,2388.0,16,Thursday,Other
Household,Kirana,,312.0,20,Wednesday,Cash
Gift,Other,farewell contribution,334.0,15,Wednesday,Other
Food,fruits,half kg chiku,30.0,17,Monday,Other
Food,fruits,Apple 2 kg (110) + Banana 1kg (80),300.0,17,Monday,Other
Transportation,auto,2 Place 0 to Current Residence,30.0,21,Sunday,Cash
Transportation,Train,Place 0 to WS return,10.0,21,Sunday,Cash
Culture,Movie,2,560.0,15,Sunday,Card
Food,Sweets,Half kg pedhe,280.0,11,Sunday,Cash
Beauty,grooming,hair cut,100.0,11,Sunday,Other
Food,Dinner,Chicken masala gravy,100.0,21,Saturday,Other
Other,Other,Umbrella cover repair,10.0,15,Thursday,Cash
Transportation,auto,Place 0 to Current Residence,15.0,15,Thursday,Cash
Food,snacks,Vadapav,15.0,12,Thursday,Cash
Food,Tea,,10.0,12,Thursday,Cash
Transportation,Train,Place 0 to dadar return,30.0,8,Thursday,Cash
Family,Pocket money,,70.0,7,Thursday,Cash
Health,Health,Surgical gloves pair,20.0,19,Wednesday,Other
Other,Other,CSR,100.0,14,Wednesday,Other
Family,Pocket money,,20.0,14,Wednesday,Cash
Health,Medicine,,55.0,20,Monday,Other
Food,fruits,half kg chiku,60.0,10,Monday,Cash
Food,fruits,Nariyal,55.0,10,Monday,Cash
Household,Kirana,,114.0,21,Sunday,Other
Health,Medicine,,151.0,12,Sunday,Other
Household,Kirana,Supermart,558.0,10,Sunday,Card
Food,Bread,,35.0,10,Sunday,Other
Food,Milk,1.5 lit milk ,99.0,10,Sunday,Other
Food,Dinner,Sugaran Kitchen,60.0,22,Friday,Cash
Food,Lunch,,130.0,13,Friday,Other
Food,fruits,Nariyal,55.0,11,Friday,Cash
Health,Medicine,,373.0,11,Friday,Other
Health,Hospital,Doctor Fees,150.0,11,Friday,Other
Transportation,Travels,2 Place 2 to Place 1 - Novelty tour and travels,1400.0,11,Friday,Other
Food,Tea,2 tea parcel,24.0,9,Friday,Other
Food,breakfast,2 plates poha,50.0,9,Friday,Other
Food,Milk,milk 1lit ,66.0,9,Friday,Other
Food,Lunch,,282.0,6,Thursday,Card
subscription,Tata Sky,Current Residence - Tata Play recharge,100.0,6,Thursday,Other
Food,Dinner,Sugaran Kitchen,110.0,21,Wednesday,Other
Food,Milk,milk 1lit ,66.0,0,Saturday,Other
Transportation,auto,Current Residence to Place 1 bus stop highway,60.0,0,Thursday,Cash
Transportation,Travels,2 Place 1 to Place 2 - Novelty tour and travels,2598.0,0,Thursday,Other
Family,Pocket money,,2500.0,0,Thursday,Other
Food,Grocery,vegetables,285.0,0,Thursday,Other
Transportation,train,Local pass to Family,100.0,0,Thursday,Cash
Transportation,auto,2 Current Residence to Place 0,30.0,0,Thursday,Cash
Food,snacks,Idli 4 pcs + kachori 4 pcs,93.0,0,Thursday,Other
Household,Kirana,Supermart,514.0,0,Monday,Other
Health,Medicine,V-wash,45.0,0,Saturday,Cash
Transportation,Travels,2 Place 1 to Place 2 - Novelty tour and travels,1440.0,0,Wednesday,Other
Food,flour mill,M D sure 4kg atta,196.0,0,Wednesday,Cash
Family,Pocket money,,500.0,0,Friday,Cash
Other,Other,Pant chain repair,20.0,0,Friday,Cash
Food,snacks,Sweet bread cake 90 + veg puff 2,140.0,0,Friday,Other
subscription,Edtech Course,,2700.0,0,Tuesday,Other
Education,Stationary,Print outs+ Xerox,50.0,0,Tuesday,Cash
Food,Ice cream,4 cups (2 Vanilla 2 tutifruity),40.0,0,Sunday,Other
Other,Other,clock cell,15.0,0,Thursday,Other
subscription,Newspaper,,170.0,0,Thursday,Other
maid,Other,,820.0,0,Monday,Cash
Food,Milk,milk 1lit ,66.0,0,Monday,Other
Money transfer,Home,,10000.0,0,Monday,Other
Other,Other,Sms charges + GST,17.7,16,Thursday,Other
Household,Toiletries,Odonil,60.0,10,Thursday,Cash
Household,Kirana,Honey small bottle,10.0,10,Thursday,Cash
Household,Kirana,Janeyu,5.0,10,Thursday,Cash
Household,Kirana,Nariyal,25.0,10,Thursday,Cash
Food,Milk,1.5 lit milk ,99.0,6,Thursday,Other
Health,Medicine,5 Meftal spas,22.0,21,Wednesday,Other
Transportation,Taxi,Ola cab - Domestic airport T1 to Current Residence,640.0,12,Tuesday,Cash
Tourism,Trip,Misc expense,200.0,12,Monday,Cash
Food,snacks,2 chips packets,20.0,12,Monday,Cash
Tourism,Trip,Misc expense,100.0,4,Sunday,Cash
Health,Medicine,Vicks inhaler,59.0,4,Sunday,Cash
Transportation,auto,market to resort,200.0,4,Sunday,Cash
Food,breakfast,Parle G chota pack,5.0,22,Saturday,Cash
Health,Medicine,strepsils 13 pills,39.0,5,Friday,Cash
Transportation,auto,Auto : Mahal to hotel,40.0,22,Thursday,Cash
Food,Eating out,roof top lounge  (200 french fries + 100 masala tea)+15 GST + 10 Tip,325.0,22,Thursday,Card
Household,home decor,2 Bedsheets (1500 each),3000.0,16,Thursday,Card
Apparel,Clothing,Jaipuri handprinted Maharani Saree (1850 Two pcs + 1500 1 pc),5200.0,16,Thursday,Card
Food,Lunch,180 Chicken Sandwich + 120 vada pav & Samosa,300.0,14,Wednesday,Cash
Transportation,Taxi,Ola cab - Current Residence to Domestic airport T1,850.0,14,Wednesday,Cash
Family,Pocket money,,5000.0,16,Tuesday,Cash
Household,Kitchen,Mahanagar Gas connection installation,300.0,16,Tuesday,Cash
Household,Appliances,Selfie stick Bluetooth tripod,280.0,18,Monday,Other
Beauty,grooming,Shaving,50.0,18,Monday,Other
Food,Grocery,1.5 kg onions,33.0,11,Monday,Other
Beauty,Accessories,Lens cleaner,80.0,11,Monday,Other
Education,Stationary,15 fevistick + 12 xerox2 & print2,27.0,11,Monday,Other
Food,Ice cream,Baskin Robbins,166.0,21,Sunday,Card
Food,Lunch,280 chicken dum biryani+ 200 paneer tikka laziz + GST,504.0,21,Sunday,Card
Transportation,auto,BKC to kurla station,60.0,20,Sunday,Cash
Transportation,Taxi,Ola cab - siddhivinayak to BKC,361.0,20,Sunday,Other
Transportation,Taxi,Dadar West to siddhivinayak,25.0,20,Sunday,Cash
Transportation,Train,2 Place 0 to dadar return,60.0,20,Sunday,Cash
Transportation,auto,2 Current Residence to Place 0,30.0,20,Sunday,Cash
Apparel,Laundry,clothes ironing : Rs 6 per item,48.0,9,Sunday,Cash
Other,Other,Mobile cover moto G5 plus,239.0,0,Sunday,Card
Household,Furniture,Foldable wardrobe,569.0,0,Sunday,Card
Household,Appliances,2 locks for bags,60.0,11,Saturday,Cash
Household,Kirana,Colgate max fresh small,20.0,11,Saturday,Cash
Household,Kirana,Dettol sanitizer,45.0,11,Saturday,Cash
subscription,Tata Sky,Current Residence - Tata Play recharge,217.0,11,Saturday,Other
Family,Pocket money,,100.0,15,Friday,Cash
maid,Other,,1020.0,23,Thursday,Cash
